Customer_ID,Age,Gender,Item_Purchased,Category,Purchase_Amount,Location,Size,Color,Season,Review_Rating,Subscription_Status,Shipping_Type,Discount_Applied,Previous_Purchases,Payment_Method,Frequency_of_Purchases
1,43,Male,Gloves,Accessories,63,South Dakota,S,DarkOliveGreen,Summer,3.2,Yes,Store Pickup,No,70,PayPal,Fortnightly
2,63,Female,Jeans,Clothing,78,Alaska,L,LightSalmon,Fall,4.1,Yes,Standard,Yes,89,PayPal,Annually
3,30,Female,Backpack,Accessories,28,Kansas,S,Ivory,Summer,4.3,Yes,Store Pickup,Yes,100,Cash,Quarterly
4,24,Male,Boots,Footwear,74,Florida,L,DarkKhaki,Fall,2.9,Yes,Express,Yes,65,Debit Card,Annually
5,33,Female,Jacket,Outerwear,69,Utah,S,YellowGreen,Winter,3.1,No,Next Day Air,No,88,Bank Transfer,Weekly
6,73,Male,T-shirt,Clothing,54,Colorado,XL,Peru,Summer,4.1,No,Next Day Air,Yes,1,Venmo,Fortnightly
7,54,Male,Jeans,Clothing,61,Arizona,XL,Black,Summer,4.2,Yes,2-Day Shipping,Yes,23,PayPal,Quarterly
8,37,Male,Gloves,Accessories,59,Colorado,M,IndianRed,Winter,3.3,Yes,Standard,No,89,Venmo,Quarterly
9,22,Male,Jacket,Outerwear,94,Iowa,S,Tan,Spring,4.9,Yes,Free Shipping,No,76,Debit Card,Weekly
10,25,Male,Sweater,Clothing,58,Rhode Island,S,Bisque,Spring,3.9,Yes,Express,No,71,Credit Card,Every 3 Months
11,41,Female,Scarf,Accessories,20,Oklahoma,M,Gray,Fall,4.9,Yes,Free Shipping,Yes,38,Venmo,Bi-Weekly
12,26,Male,Boots,Footwear,57,Virginia,XL,YellowGreen,Summer,3.8,No,2-Day Shipping,No,68,Bank Transfer,Weekly
13,30,Female,Jewelry,Accessories,57,Nebraska,M,Indigo,Summer,4.6,Yes,Free Shipping,Yes,77,Bank Transfer,Weekly
14,45,Female,Pants,Clothing,47,New Hampshire,S,LightSeaGreen,Summer,3.2,Yes,Standard,Yes,58,Venmo,Annually
15,22,Female,Jewelry,Accessories,59,Alabama,L,DimGray,Spring,4.3,Yes,Standard,Yes,19,Credit Card,Every 3 Months
16,25,Male,Sunglasses,Accessories,16,Vermont,S,Peru,Fall,2.7,Yes,Next Day Air,Yes,42,Credit Card,Weekly
17,18,Male,Belt,Accessories,29,Michigan,S,LightSeaGreen,Fall,4.9,Yes,Standard,No,13,Venmo,Weekly
18,24,Male,Jacket,Outerwear,79,Georgia,L,IndianRed,Summer,3.9,Yes,Express,No,21,Credit Card,Every 3 Months
19,48,Male,Coat,Outerwear,82,Wisconsin,M,MediumSlateBlue,Summer,2.5,Yes,Store Pickup,No,16,Cash,Quarterly
20,58,Female,Pants,Clothing,47,Connecticut,L,DarkGoldenRod,Spring,4.2,No,Store Pickup,Yes,58,Cash,Quarterly
21,50,Female,Gloves,Accessories,66,Missouri,L,DarkGray,Summer,4.9,Yes,Next Day Air,No,81,Venmo,Annually
22,22,Male,Skirt,Clothing,50,Minnesota,M,MediumTurquoise,Winter,2.9,Yes,Express,Yes,95,Credit Card,Bi-Weekly
23,61,Male,Boots,Footwear,21,Rhode Island,M,LightGray,Fall,3.7,Yes,Standard,No,1,Bank Transfer,Weekly
24,62,Male,Boots,Footwear,20,Arizona,L,Salmon,Spring,5,Yes,2-Day Shipping,No,57,Cash,Monthly
25,41,Female,Belt,Accessories,63,Ohio,M,DarkRed,Summer,4.9,No,Standard,Yes,48,Cash,Annually
26,72,Male,Gloves,Accessories,36,Missouri,S,Cyan,Summer,3.2,No,Next Day Air,Yes,27,Venmo,Monthly
27,59,Male,T-shirt,Clothing,55,Oklahoma,S,LightYellow,Fall,4.7,No,Express,Yes,45,Venmo,Bi-Weekly
28,24,Female,Dress,Clothing,49,South Dakota,S,MistyRose,Summer,4.7,Yes,Standard,No,45,Venmo,Fortnightly
29,75,Female,Dress,Clothing,42,Oregon,M,GoldenRod,Fall,2.8,No,Express,Yes,19,Debit Card,Annually
30,37,Female,Shoes,Footwear,70,Virginia,L,CornflowerBlue,Fall,4.7,No,Express,No,56,Debit Card,Every 3 Months
31,65,Female,Dress,Clothing,38,Arizona,XL,Khaki,Winter,3.4,Yes,Express,No,24,Credit Card,Fortnightly
32,75,Male,Sandals,Footwear,73,Wyoming,S,LightSteelBlue,Spring,4.2,No,Store Pickup,No,34,Venmo,Quarterly
33,66,Male,Pants,Clothing,61,Colorado,XL,Lavender,Fall,2.8,Yes,Express,Yes,16,Cash,Annually
34,71,Male,Pants,Clothing,79,Connecticut,L,Olive,Fall,4.9,Yes,Standard,Yes,61,Credit Card,Annually
35,33,Male,Pants,Clothing,78,Louisiana,M,SaddleBrown,Spring,3.1,Yes,Next Day Air,No,89,Cash,Monthly
36,63,Female,Hat,Accessories,27,South Dakota,S,Moccasin,Spring,3,Yes,Free Shipping,No,15,Cash,Quarterly
37,57,Male,Sweater,Clothing,42,Hawaii,M,NavajoWhite,Winter,4.7,No,Standard,Yes,67,Credit Card,Monthly
38,48,Male,T-shirt,Clothing,44,Minnesota,S,HoneyDew,Fall,4.1,No,Express,Yes,34,Credit Card,Annually
39,21,Male,Boots,Footwear,73,Texas,M,LightGreen,Winter,2.5,No,Free Shipping,Yes,36,PayPal,Annually
40,29,Male,Boots,Footwear,32,Vermont,L,Cornsilk,Fall,3.4,No,Express,No,12,Debit Card,Fortnightly
41,65,Female,Jewelry,Accessories,64,Rhode Island,L,FloralWhite,Summer,3.1,No,Free Shipping,Yes,74,PayPal,Fortnightly
42,74,Male,Belt,Accessories,23,Ohio,M,LemonChiffon,Spring,4.3,Yes,Express,Yes,69,Bank Transfer,Annually
43,27,Female,Coat,Outerwear,90,Hawaii,S,SandyBrown,Spring,3,No,2-Day Shipping,Yes,44,Credit Card,Quarterly
44,22,Male,T-shirt,Clothing,37,Missouri,XL,LightPink,Fall,3.8,Yes,Free Shipping,No,76,Credit Card,Monthly
45,21,Male,Gloves,Accessories,33,South Dakota,M,Indigo,Fall,3.7,Yes,Free Shipping,Yes,56,Bank Transfer,Quarterly
46,56,Male,Jacket,Outerwear,84,Utah,L,MediumOrchid,Spring,3,Yes,2-Day Shipping,No,27,Bank Transfer,Monthly
47,50,Male,Sweater,Clothing,89,Wyoming,L,Chartreuse,Summer,4.6,No,Store Pickup,No,34,Bank Transfer,Fortnightly
48,58,Female,Sneakers,Footwear,25,Iowa,M,BlanchedAlmond,Summer,4.8,No,Express,Yes,82,Cash,Every 3 Months
49,58,Male,Shoes,Footwear,34,Massachusetts,L,PaleGoldenRod,Summer,2.7,No,Store Pickup,Yes,17,PayPal,Bi-Weekly
50,32,Male,Shirt,Clothing,33,Louisiana,L,Coral,Spring,3.1,Yes,2-Day Shipping,Yes,84,Bank Transfer,Fortnightly
51,59,Male,Hat,Accessories,59,Indiana,L,Maroon,Spring,4.5,Yes,Next Day Air,No,34,Cash,Bi-Weekly
52,27,Male,T-shirt,Clothing,84,Indiana,XL,SpringGreen,Spring,4.3,No,Next Day Air,No,18,PayPal,Fortnightly
